name,category,api_status,visible_name,can_call,normalized,notes
a,length,ok,a,True,,
aa,length,ok,aa,True,,
aaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,,False,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,,False,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,,False,,
tool,charset,ok,tool,True,,
tool_1,charset,ok,tool_1,True,,
tool-1,charset,ok,tool-1,True,,
Tool123,charset,ok,Tool123,True,,
my.tool,charset,ok,my.tool,True,,
my/tool,charset,ok,my/tool,True,,
my:tool,charset,ok,my:tool,True,,
my@tool,charset,ok,my@tool,True,,
my+tool,charset,ok,my+tool,True,,
"my,tool",charset,ok,"my,tool",True,,
my?tool,charset,ok,my?tool,True,,
my#tool,charset,ok,my#tool,True,,
my%tool,charset,ok,my%tool,True,,
my tool,charset,ok,my tool,True,,
 tool,charset,ok,,False,,
tool ,charset,ok,,False,,
工具,unicode,ok,工具,True,,
café,unicode,ok,café,True,,
café,unicode,ok,café,True,,
ｔｏｏｌ,unicode,ok,ｔｏｏｌ,True,,
🛠️tool,unicode,ok,🛠️tool,True,,
δοκιμή,unicode,ok,δοκιμή,True,,
tool​name,unicode,ok,tool​name,True,,
tool‍name,unicode,ok,tool‍name,True,,
tool⁠name,unicode,ok,tool⁠name,True,,
Straße,unicode,ok,Straße,True,,
abc‏def,directional,ok,abc‏def,True,,
‮abc,directional,ok,‮abc,True,,
_start,boundary,ok,_start,True,,
-start,boundary,ok,-start,True,,
end_,boundary,ok,,False,,
end-,boundary,ok,,False,,
0start,boundary,ok,0start,True,,
.,boundary,ok,,False,,
.hidden,boundary,ok,.hidden,True,,
system,reserved,ok,system,True,,
assistant,reserved,ok,assistant,True,,
