name,category,api_status,visible_name,can_call,normalized,notes
a,length,ok,a,True,,
aa,length,ok,aa,True,,
aaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,"Error code: 400 - {'error': {'type': 'invalid_request_error', 'message': 'tools.0.custom.name: String should have at most 128 characters'}, 'request_id': 'req_011CSUhYU3KuD24yqdoSEdr4'}",,False,,BadRequestError
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,"Error code: 400 - {'error': {'type': 'invalid_request_error', 'message': 'tools.0.custom.name: String should have at most 128 characters'}, 'request_id': 'req_011CSUhYYDqpznVtH1VBLLUY'}",,False,,BadRequestError
tool,charset,ok,tool,True,,
tool_1,charset,ok,tool_1,True,,
tool-1,charset,ok,tool-1,True,,
Tool123,charset,ok,Tool123,True,,
my.tool,charset,"Error code: 400 - {'error': {'type': 'invalid_request_error', 'message': ""tools.0.custom.name: String should match pattern '^[a-zA-Z0-9_-]{1,128}$'""}, 'request_id': 'req_011CSUhYbhweHStyuDjciPwA'}",,False,,BadRequestError
my/tool,charset,"Error code: 400 - {'error': {'type': 'invalid_request_error', 'message': ""tools.0.custom.name: String should match pattern '^[a-zA-Z0-9_-]{1,128}$'""}, 'request_id': 'req_011CSUhYc9Eg6TXBKosmHSpa'}",,False,,BadRequestError
my:tool,charset,"Error code: 400 - {'error': {'type': 'invalid_request_error', 'message': ""tools.0.custom.name: String should match pattern '^[a-zA-Z0-9_-]{1,128}$'""}, 'request_id': 'req_011CSUhYcVpZgfuaaRKi9Hna'}",,False,,BadRequestError
my@tool,charset,"Error code: 400 - {'error': {'type': 'invalid_request_error', 'message': ""tools.0.custom.name: String should match pattern '^[a-zA-Z0-9_-]{1,128}$'""}, 'request_id': 'req_011CSUhYceFj8ExbJDHCu6jE'}",,False,,BadRequestError
