name,category,api_status,visible_name,can_call,normalized,notes
a,length,ok,a,True,,
aa,length,ok,aa,True,,
aaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,"Error code: 400 - {'error': {'message': ""Invalid 'tools[0].function.name': string too long. Expected a string with maximum length 64, but got a string with length 65 instead."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",,False,,BadRequestError
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,"Error code: 400 - {'error': {'message': ""Invalid 'tools[0].function.name': string too long. Expected a string with maximum length 64, but got a string with length 127 instead."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",,False,,BadRequestError
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,"Error code: 400 - {'error': {'message': ""Invalid 'tools[0].function.name': string too long. Expected a string with maximum length 64, but got a string with length 128 instead."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",,False,,BadRequestError
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,"Error code: 400 - {'error': {'message': ""Invalid 'tools[0].function.name': string too long. Expected a string with maximum length 64, but got a string with length 255 instead."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",,False,,BadRequestError
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,"Error code: 400 - {'error': {'message': ""Invalid 'tools[0].function.name': string too long. Expected a string with maximum length 64, but got a string with length 256 instead."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",,False,,BadRequestError
tool,charset,ok,tool,True,,
tool_1,charset,ok,tool_1,True,,
tool-1,charset,ok,tool-1,True,,
Tool123,charset,ok,Tool123,True,,
my.tool,charset,"Error code: 400 - {'error': {'message': ""Invalid 'tools[0].function.name': string does not match pattern. Expected a string that matches the pattern '^[a-zA-Z0-9_-]+$'."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",,False,,BadRequestError
my/tool,charset,"Error code: 400 - {'error': {'message': ""Invalid 'tools[0].function.name': string does not match pattern. Expected a string that matches the pattern '^[a-zA-Z0-9_-]+$'."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",,False,,BadRequestError
my:tool,charset,"Error code: 400 - {'error': {'message': ""Invalid 'tools[0].function.name': string does not match pattern. Expected a string that matches the pattern '^[a-zA-Z0-9_-]+$'."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",,False,,BadRequestError
my@tool,charset,"Error code: 400 - {'error': {'message': ""Invalid 'tools[0].function.name': string does not match pattern. Expected a string that matches the pattern '^[a-zA-Z0-9_-]+$'."", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}",,False,,BadRequestError
