name,category,api_status,visible_name,can_call,normalized,notes
a,length,ok,a,True,,
aa,length,ok,aa,True,,
aaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,"Error code: 400 - {'error': {'message': ""Invalid 'tools[0].function.name': string too long. Expected a string with maximum length 64, but got a string with length 65 instead. (request id: 20250825001330490453727qW9o4bC5)"", 'type': 'openai_error', 'param': '', 'code': 'string_above_max_length'}}",,False,,BadRequestError
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,"Error code: 400 - {'error': {'message': ""Invalid 'tools[0].function.name': string too long. Expected a string with maximum length 64, but got a string with length 127 instead. (request id: 20250825001330447484699zj7Pxie1)"", 'type': 'openai_error', 'param': '', 'code': 'string_above_max_length'}}",,False,,BadRequestError
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,"Error code: 400 - {'error': {'message': ""Invalid 'tools[0].function.name': string too long. Expected a string with maximum length 64, but got a string with length 128 instead. (request id: 202508250013305169655570FpYtmeF)"", 'type': 'openai_error', 'param': '', 'code': 'string_above_max_length'}}",,False,,BadRequestError
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,"Error code: 400 - {'error': {'message': ""Invalid 'tools[0].function.name': string too long. Expected a string with maximum length 64, but got a string with length 255 instead. (request id: 2025082500133126225401nA2HnZpj)"", 'type': 'openai_error', 'param': '', 'code': 'string_above_max_length'}}",,False,,BadRequestError
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,"Error code: 400 - {'error': {'message': ""Invalid 'tools[0].function.name': string too long. Expected a string with maximum length 64, but got a string with length 256 instead. (request id: 20250825001331456906584NNlSuVpj)"", 'type': 'openai_error', 'param': '', 'code': 'string_above_max_length'}}",,False,,BadRequestError
tool,charset,ok,tool,True,,
tool_1,charset,ok,tool_1,True,,
tool-1,charset,ok,tool-1,True,,
Tool123,charset,ok,Tool123,True,,
my.tool,charset,"Error code: 400 - {'error': {'message': ""Invalid 'tools[0].function.name': string does not match pattern. Expected a string that matches the pattern '^[a-zA-Z0-9_-]+$'. (request id: 20250825001332150616243kDnqTWAR)"", 'type': 'openai_error', 'param': '', 'code': 'invalid_value'}}",,False,,BadRequestError
my/tool,charset,"Error code: 400 - {'error': {'message': ""Invalid 'tools[0].function.name': string does not match pattern. Expected a string that matches the pattern '^[a-zA-Z0-9_-]+$'. (request id: 20250825001332171899624egsTVK9Q)"", 'type': 'openai_error', 'param': '', 'code': 'invalid_value'}}",,False,,BadRequestError
my:tool,charset,"Error code: 400 - {'error': {'message': ""Invalid 'tools[0].function.name': string does not match pattern. Expected a string that matches the pattern '^[a-zA-Z0-9_-]+$'. (request id: 20250825001331977121792BCQ6N3Nl)"", 'type': 'openai_error', 'param': '', 'code': 'invalid_value'}}",,False,,BadRequestError
