name,category,api_status,visible_name,can_call,normalized,notes
a,length,ok,a,True,,
aa,length,ok,aa,True,,
aaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,ok,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,True,,
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,"Error code: 400 - {'error': {'code': 'invalid_parameter_error', 'param': None, 'message': '<400> InternalError.Algo.InvalidParameter: The length of the tool name cannot exceed 64.', 'type': 'invalid_request_error'}, 'id': 'chatcmpl-9996e28b-2c32-902c-a77e-c96d0e281559', 'request_id': '9996e28b-2c32-902c-a77e-c96d0e281559'}",,False,,BadRequestError
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,"Error code: 400 - {'error': {'code': 'invalid_parameter_error', 'param': None, 'message': '<400> InternalError.Algo.InvalidParameter: The length of the tool name cannot exceed 64.', 'type': 'invalid_request_error'}, 'id': 'chatcmpl-e163c895-4915-9184-a13c-7f12eec6d4a3', 'request_id': 'e163c895-4915-9184-a13c-7f12eec6d4a3'}",,False,,BadRequestError
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,"Error code: 400 - {'error': {'code': 'invalid_parameter_error', 'param': None, 'message': '<400> InternalError.Algo.InvalidParameter: The length of the tool name cannot exceed 64.', 'type': 'invalid_request_error'}, 'id': 'chatcmpl-ed55b52b-9e75-94e9-8d86-636673a34912', 'request_id': 'ed55b52b-9e75-94e9-8d86-636673a34912'}",,False,,BadRequestError
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,"Error code: 400 - {'error': {'code': 'invalid_parameter_error', 'param': None, 'message': '<400> InternalError.Algo.InvalidParameter: The length of the tool name cannot exceed 64.', 'type': 'invalid_request_error'}, 'id': 'chatcmpl-a5685e2b-a9c3-9e2b-9503-cdc8fe3e29b1', 'request_id': 'a5685e2b-a9c3-9e2b-9503-cdc8fe3e29b1'}",,False,,BadRequestError
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,length,"Error code: 400 - {'error': {'code': 'invalid_parameter_error', 'param': None, 'message': '<400> InternalError.Algo.InvalidParameter: The length of the tool name cannot exceed 64.', 'type': 'invalid_request_error'}, 'id': 'chatcmpl-16ff2920-3883-9c24-bec4-cb35f15c912a', 'request_id': '16ff2920-3883-9c24-bec4-cb35f15c912a'}",,False,,BadRequestError
tool,charset,ok,tool,True,,
tool_1,charset,ok,tool_1,True,,
tool-1,charset,ok,tool-1,True,,
Tool123,charset,ok,Tool123,True,,
my.tool,charset,ok,my.tool,True,,
my/tool,charset,ok,my/tool,True,,
my:tool,charset,ok,my:tool,True,,
my@tool,charset,ok,my@tool,True,,
my+tool,charset,ok,my+tool,True,,
"my,tool",charset,ok,"my,tool",True,,
my?tool,charset,ok,my?tool,True,,
my#tool,charset,ok,my#tool,True,,
my%tool,charset,ok,my%tool,True,,
my tool,charset,ok,my tool,True,,
 tool,charset,ok,tool,True,tool,
tool ,charset,ok,tool ,True,,
工具,unicode,ok,工具,True,,
café,unicode,ok,café,True,,
